F596,AM/1609/77
F98001,AU/10/97
F254/5,BA/1samep/79
F254/5,BA/1/79
F254,BA/1/79
F458,BA/1/79
F222,BA/2/79
F476,BE/32a/92
F476/7,BE/32a/92
F93017,BE/32b/92
F93018,BE/32c/92
F411,BE/353/89
F95032,BE/353/89
F92001,BE/353b/89
F96017,BE/353C/89
F394/5,BI/16190/68
F598,BI/1905/76
F392/3,BI/21793/72
F09003,BI/21793A/72
F09004,BI/21793B/72
F288,BI/2461/78
F288/9,BI/2461/78
F389,BI/2600/75
F386/7,BI/5168/76
F390/1,BI/5930/74
F582,BR/8/96
F09015,BR/8A/96
F09016,BR/8B/96
F340/1,CC/4/85
F494/5,CC/4/85
F304HAY,CC/28/03
F306/7,CE/1a/84
F316/7,CE/1b/84
F379,CO/2/86
F89,EN/23/76
F92006,EN/261/91
F44/5,EN/42/72
F49,EN/427/88
F264/5,EN/496/80
F264,EN/496/80
FHay03,FI/170/03
F03021,FI/170/03
F544/5,FI/338/95
F544,FI/338/95
FHay01,FU/411/02
F03013,FU/411/02
F95013,GD/25/93
F95014,GD/25/93
F534/5,GE/A9509/95
F382/3,GU/54/89
F356,HK/1/68
F6811,HK/1/68
F87022,HK/1/68
F09009,HK/1A/68
F09010,HK/1B/68
F375A,HK/1/89
F344/5,HK/107/71
F09001,HK/107A/71
F09002,HK/107B/71
F500/1,HK/23/92
F452/3,HK/34/90
F452,HK/34/90
F92007,HK/34A/90
F96015,BE/32/92
F09013,NL/823A/92
F09014,NL/823B/92
F09007,PA/548A/92
F09008,PA/548B/92
F532/3,JO/33/94
F533,JO/33/94
F95011,JO/33/94
F95012,JO/33/94
F03019,JO/33A/94
F03020,JO/33B/94
F338/9,LE/360/86
F426,LY/1149/91
F09005,LY/1149A/91
F09006,LY/1149B/91
F552/3,LY/2279/95
F552,LY/2279/95
F07027,LY/2279A/95
F07028,LY/2279B/95
F478/9,MA/G102/93
RABBIT73,MA/G102r/93
F502/3,MA/G252/93
F00007,MW/10/99
F00008,MW/10/99
F990052,MW/10/99
F04003,MW/10A/99
F96013,NA/933/95
F97002,NA/933/95
F546/7,NA/933/95
F89,NIB-8
F524,NL/1/95
F524/5,NL/1/95
F02003,NL/1/02
F03009,NL/109/03
F01005,NL/118/01
F01008,NL/124/01
F01010,NL/126/01
F564/5,NL/172/96
F564,NL/172/96
F569,NL/172/96
F96022,NL/172/96
F94004,NL/18/94
F03001,NL/22/03
F237,NL/209/80
F530/1,NL/209/80
F09017,NL/209A/80
F09018,NL/209B/80
F548/9,NL/218a/95
F95036/7,NL/218notused/95
F95037,NL/218b/95
F548/9,NL/218/95
F95036/7,NL/218/95
F95036,NL/218/95
F95037,NL/218/95
F279,NL/233/82
F280/1,NL/241/82
F504,NL/241/93
F93022,NL/241/93
F97007,NL/286/97
F00003,NL/301/99
F04001,NL/312/03
F94019,NL/33/94
F9419,NL/33/94
F308/9,NL/330/85
F310/11,NL/333/85
